Blue Stinger,8.4,0.1	
Blues Brothers 2000,5.4,0.05	
Blur,7.0,1.4	
Bode Miller Alpine Skiing,3.2,0.03	
Body Harvest,8.4,0.2	
Body and Brain Connection,5.0,0.2	
Bodycount,6.0,0.23	
Boing! Docomodake DS,7.5,0.05	
Boktai 2: Solar Boy Django,8.0,0.04	
Bolt,4.98,1.89	
Bombastic,8.5,0.05	
Bomberman 64,7.6,1.04	
Bomberman Fantasy Race,6.8,0.02	
Bomberman Generation,8.1,0.25	
Bomberman Hero,6.0,0.47	
Bomberman Jetters,6.7,0.08	
Bomberman Land Touch! 2,7.9,0.16	
Bomberman Land Touch!,8.5,0.09	
Bomberman Land,7.05,0.39	
Bomberman Max 2: Blue Advance,7.5,0.09	
Bomberman Max 2: Red Advance,7.5,0.07	
Bomberman Tournament,8.5,0.25	
Bomberman World,7.8,0.33	
Bomberman,7.48,1.35	
Bomberman: Act Zero,3.0,0.04	
Boogie SuperStar,5.0,0.24	
Boogie,5.5,0.96	
Bookworm,7.96,0.37	
Boom Blox Bash Party,8.5,0.47	
Boom Blox,7.55,1.23	
Borderlands 2,8.1,7.11	
Borderlands,8.8,5.73	
Borderlands: Double Game Add-On Pack,6.5,0.13	
Borderlands: The Handsome Collection,8.4,1.25	
Borderlands: The Pre-Sequel,8.0,1.71	
Botanicula,9.0,0.03	
Bottom of the 9th '97,6.0,0.02	
Bottom of the 9th '99,5.0,0.05	
Bottom of the 9th,7.1,0.51	
Bounty Hounds,7.0,0.03	
Boxing Fever,8.5,0.08	
Braid,8.7,0.03	
Brain Age 2: More Training in Minutes a Day,8.0,15.3	
Brain Age: Concentration Training,7.8,0.09	
Brain Age: Train Your Brain in Minutes a Day,8.0,20.22	
Brain Assist,7.0,0.13	
Brain Boost: Beta Wave,4.5,0.15	
Brain Boost: Gamma Wave,4.5,0.15	
Brain Challenge,7.55555555556,0.45	
Brain Quest: Grades 3 & 4,6.7,0.07	
Brain Quest: Grades 5 & 6,6.7,0.11	
Brain Voyage,5.0,0.09	
Bratz 4 Real,6.0,0.57	
Bratz Kidz,2.75,0.21	
Bratz Ponyz 2,6.5,0.26	
Bratz Ponyz,6.0,0.28	
Bratz: Forever Diamondz,4.5,1.7	
Bratz: Super Babyz,4.0,0.29	
Brave Fencer Musashi,8.5,1.14	
Brave: A Warrior's Tale,4.3,0.12	
Bravely Second: End Layer,7.1,0.47	
Bravo Air Race,4.0,0.14	
Breach,6.0,0.01	
Breakdown,6.7,0.12	
Breakout,6.75,0.11	
Breath of Fire II,8.1,0.55	
Breath of Fire III,7.5,1.04	
Breath of Fire IV,8.2,0.56	
Breath of Fire,7.6,0.22	
Breath of Fire: Dragon Quarter,8.2,0.19	
Bridge,5.5,0.27	
Brigandine: The Legend of Forsena,3.0,0.09	
Brink,6.16666666667,1.96	
Britney's Dance Beat,5.25,0.46	
Broken Helix,6.0,0.06	
Broken Sword II: The Smoking Mirror,8.0,0.06	
Broken Sword: The Shadow of the Templars,7.5,0.06	
Broken Sword: The Sleeping Dragon,8.4,0.02	
Brothers in Arms: Double Time,3.0,0.13	
Brothers in Arms: Hell's Highway,7.7,1.82	
Brothers: A Tale of Two Sons,8.2,0.17	
Bruce Lee: Quest of the Dragon,3.9,0.31	
Brunswick Circuit Pro Bowling 2,8.0,0.11	
Brunswick Circuit Pro Bowling,7.7,0.24	
Brunswick Pro Bowling,4.75,1.76	
Brute Force,8.1,0.83	
Bubble Bobble Double Shot,5.9,0.04	
Bubble Bobble Evolution,4.3,0.03	
Bubble Bobble Revolution,3.5,0.05	
Buck Bumble,7.2,0.16	
Buffy the Vampire Slayer,6.0,0.23	
Buffy the Vampire Slayer: Chaos Bleeds,7.7,0.33	
Buffy the Vampire Slayer: Wrath of the Darkhul King,4.0,0.03	
Bugs Bunny & Taz: Time Busters,7.35,0.21	
Bugs Bunny: Lost in Time,7.8,0.4	
Bujingai: The Forsaken City,7.4,0.1	
Bullet Witch,4.0,0.1	
Bulletstorm,8.0,1.71	
Bully,8.9,0.94	
Bully: Scholarship Edition,8.16666666667,1.62	
BurgerTime,7.5,0.59	
Burning Rangers,8.0,0.06	
Burnout 2: Point of Impact,8.75,1.24	
Burnout 3: Takedown,9.45,3.99	
Burnout Dominator,8.25,0.46	
Burnout Legends,6.0,1.03	
Burnout Paradise,8.8,3.33	
Burnout Paradise: The Ultimate Box,8.4,0.23	
Burnout Revenge,8.9,1.94	
